project_id,month,snapshot_date,physical_progress_pct,financial_progress_pct,cumulative_expenditure,revised_cost,cost_overrun_to_date_pct,revised_end_date,schedule_slip_months
PRJ-0014,July,2026-07-15,2.79,0.38,3233.63,695475.92,-18.27,2032-10-15,3.09
PRJ-0015,Feb,2026-02-15,2.71,6.57,13036.27,280465.96,41.35,2033-11-02,26.08
PRJ-0015,March,2026-03-15,5.42,4.64,9205.96,272855.98,37.51,2033-09-02,23.79
PRJ-0015,April,2026-04-15,8.14,0.22,445.39,257043.45,29.54,2033-06-02,20.84
PRJ-0015,May,2026-05-15,10.85,5.7,11315.45,244175.95,23.06,2033-04-02,18.7
PRJ-0015,June,2026-06-15,13.56,4.94,9792.19,316368.85,59.44,2034-02-02,29.35
PRJ-0015,July,2026-07-15,16.27,17.82,35356.85,180257.68,-9.15,2032-02-02,4.54
PRJ-0016,Feb,2026-02-15,15.67,17.54,33541.56,244452.88,27.84,2033-04-07,20.25
PRJ-0016,March,2026-03-15,31.34,31.87,60935.26,244782.22,28.01,2033-04-07,19.68
PRJ-0016,April,2026-04-15,47.01,50.15,95891.81,239531.89,25.26,2033-01-07,16.94
PRJ-0016,May,2026-05-15,62.68,55.45,106023.0,232719.63,21.7,2032-11-07,15.16
PRJ-0016,June,2026-06-15,78.35,71.49,136702.67,284424.92,48.74,2033-02-07,18.23
PRJ-0016,July,2026-07-15,94.02,92.9,177640.54,207159.38,8.34,2031-11-07,2.61
PRJ-0017,Feb,2026-02-15,0.34,1.2,16109.1,1472967.06,9.73,2036-10-06,16.91
PRJ-0017,March,2026-03-15,1.4,1.57,21134.25,1465826.15,9.2,2036-06-06,13.43
PRJ-0017,April,2026-04-15,2.1,1.98,26635.67,1441886.29,7.41,2036-08-06,14.73
PRJ-0017,May,2026-05-15,2.8,0.7,9396.38,1449915.69,8.01,2036-08-06,15.31
PRJ-0017,June,2026-06-15,3.4,3.79,50913.49,1906113.45,42.0,2037-12-06,30.97
PRJ-0017,July,2026-07-15,4.19,5.49,73681.94,1146710.02,-14.58,2035-10-06,4.8
PRJ-0018,Feb,2026-02-15,7.11,5.78,35455.88,778421.34,26.91,2034-03-08,25.97
PRJ-0018,March,2026-03-15,14.22,11.34,69558.8,765848.92,24.86,2033-07-08,17.61
PRJ-0018,April,2026-04-15,21.33,25.07,153795.13,734351.82,19.72,2033-05-08,15.62
PRJ-0018,May,2026-05-15,28.44,28.18,172864.02,730049.67,19.02,2033-06-08,16.71
PRJ-0018,June,2026-06-15,35.55,31.24,191638.85,863186.98,40.73,2033-11-08,22.44
PRJ-0018,July,2026-07-15,42.66,43.99,269791.88,607395.37,-0.97,2032-06-08,4.92
PRJ-0019,Feb,2026-02-15,4.41,6.83,58497.98,954788.44,11.46,2031-07-12,17.98
PRJ-0019,March,2026-03-15,8.82,1.98,16968.91,979160.62,14.3,2031-03-12,14.47
PRJ-0019,April,2026-04-15,13.23,9.82,84150.1,927647.05,8.29,2030-12-12,11.16
PRJ-0019,May,2026-05-15,17.64,12.77,109384.32,926389.4,8.14,2031-02-12,13.4
PRJ-0019,June,2026-06-15,22.04,23.97,205321.65,1048964.33,22.45,2031-07-12,18.23
PRJ-0019,July,2026-07-15,26.45,24.96,213812.11,846202.3,-1.22,2031-02-12,12.64
PRJ-0020,Feb,2026-02-15,20.49,18.61,50149.7,328912.56,22.07,2035-04-21,21.29
PRJ-0020,March,2026-03-15,40.97,43.88,118222.09,330990.76,22.84,2034-08-21,13.22
PRJ-0020,April,2026-04-15,61.46,61.61,165991.37,321566.31,19.35,2034-07-21,11.74
PRJ-0020,May,2026-05-15,81.94,81.22,218849.63,314031.58,16.55,2034-03-21,7.99
PRJ-0020,June,2026-06-15,100.0,96.75,260674.63,361093.77,34.02,2034-06-21,10.83
PRJ-0020,July,2026-07-15,100.0,100.0,269441.06,289640.44,7.5,2033-11-21,3.83
PRJ-0021,Feb,2026-02-15,27.69,30.85,396128.67,1484037.3,15.59,2033-10-15,16.09
PRJ-0021,March,2026-03-15,55.38,62.5,802402.02,1496249.87,16.54,2033-03-15,9.41
PRJ-0021,April,2026-04-15,83.07,83.12,1067189.27,1446170.66,12.64,2032-12-15,6.26
PRJ-0021,May,2026-05-15,100.0,94.06,1207623.04,1418498.45,10.48,2032-10-15,3.85
PRJ-0021,June,2026-06-15,100.0,100.0,1283916.55,1728363.37,34.62,2033-05-15,10.53
PRJ-0021,July,2026-07-15,100.0,100.0,1283916.55,1173385.74,-8.61,2032-06-15,0.0
PRJ-0022,Feb,2026-02-15,10.24,16.57,132275.9,1036788.05,29.85,2035-11-09,19.37
PRJ-0022,March,2026-03-15,20.47,20.31,162197.32,1028778.86,28.85,2035-11-09,19.46
PRJ-0022,April,2026-04-15,30.71,29.49,235428.78,1019533.72,27.69,2035-12-09,20.46
PRJ-0022,May,2026-05-15,40.94,35.37,282380.63,1004265.9,25.78,2035-10-09,17.99
PRJ-0022,June,2026-06-15,51.18,48.69,388796.87,1240508.44,55.36,2036-02-09,22.07
PRJ-0022,July,2026-07-15,61.41,61.19,488591.04,878131.38,9.98,2035-02-09,10.45
PRJ-0023,Feb,2026-02-15,22.66,23.99,139078.72,661172.57,14.03,2034-01-01,14.68
PRJ-0023,March,2026-03-15,45.32,47.52,275535.05,662447.32,14.25,2033-05-01,6.79
PRJ-0023,April,2026-04-15,67.97,68.53,397341.39,628137.32,8.33,2033-04-01,6.37
PRJ-0023,May,2026-05-15,90.63,93.79,543822.62,621110.07,7.12,2033-03-01,4.83
PRJ-0023,June,2026-06-15,100.0,92.61,537009.48,801438.39,38.22,2033-10-01,12.47
PRJ-0023,July,2026-07-15,100.0,95.64,554541.05,477529.27,-17.64,2032-10-01,0.0
PRJ-0024,Feb,2026-02-15,11.0,8.81,20954.66,291066.25,22.37,2032-07-01,14.54
PRJ-0024,March,2026-03-15,21.99,22.04,52436.41,284520.27,19.62,2032-10-01,18.44
PRJ-0024,April,2026-04-15,32.99,34.82,82826.95,276054.25,16.06,2032-06-01,14.39
PRJ-0024,May,2026-05-15,43.98,53.09,126287.19,274465.97,15.39,2032-06-01,14.05
PRJ-0024,June,2026-06-15,54.98,56.77,135023.1,323841.89,36.15,2032-12-01,20.34
PRJ-0024,July,2026-07-15,65.97,64.27,152869.11,231809.0,-2.54,2031-10-01,5.52
PRJ-0025,Feb,2026-02-15,16.25,12.69,41571.57,450800.5,37.59,2032-04-20,17.68
PRJ-0025,March,2026-03-15,32.5,33.97,111313.02,447506.07,36.58,2032-06-20,19.92
PRJ-0025,April,2026-04-15,48.74,48.8,159883.67,455578.86,39.05,2032-08-20,22.4
PRJ-0025,May,2026-05-15,64.99,68.3,223775.32,441525.67,34.76,2032-03-20,16.92
PRJ-0025,June,2026-06-15,81.24,81.46,266913.74,538443.23,64.34,2032-12-20,25.76
PRJ-0025,July,2026-07-15,97.49,96.33,315638.48,391806.92,19.58,2031-06-20,7.96
PRJ-0026,Feb,2026-02-15,23.31,13.78,125463.86,999262.65,9.73,2032-11-12,13.64
PRJ-0026,March,2026-03-15,46.62,52.5,478112.95,977779.85,7.37,2032-06-12,9.32
PRJ-0026,April,2026-04-15,69.93,66.32,603989.91,1030503.59,13.16,2032-02-12,5.11
PRJ-0026,May,2026-05-15,93.24,93.11,847910.82,1030157.78,13.12,2032-01-12,4.42
PRJ-0026,June,2026-06-15,100.0,100.0,910676.7,1143526.2,25.57,2032-08-12,10.62
PRJ-0026,July,2026-07-15,100.0,100.0,910676.7,999300.66,9.73,2032-03-12,6.37
PRJ-0027,Feb,2026-02-15,0.76,1.55,1377.87,93814.53,5.79,2031-04-23,11.56
PRJ-0027,March,2026-03-15,1.52,2.12,1876.69,88735.58,0.06,2031-04-23,12.49
PRJ-0027,April,2026-04-15,0.99,7.28,6453.01,91092.32,2.72,2031-08-23,15.97
PRJ-0027,May,2026-05-15,3.05,1.65,1458.83,86002.76,-3.02,2031-04-23,11.54
PRJ-0027,June,2026-06-15,3.82,9.74,8635.68,119798.69,35.09,2032-06-23,26.06
PRJ-0027,July,2026-07-15,4.58,1.05,929.69,66137.71,-25.42,2030-08-23,4.13
PRJ-0028,Feb,2026-02-15,15.87,17.89,206548.99,1738201.5,50.55,2035-04-15,26.39
PRJ-0028,March,2026-03-15,31.74,31.4,362500.7,1734717.67,50.25,2035-03-15,25.23
PRJ-0028,April,2026-04-15,47.62,41.48,478965.86,1694368.19,46.75,2034-12-15,21.62
PRJ-0028,May,2026-05-15,63.49,61.03,704649.9,1645916.24,42.56,2034-06-15,16.06
PRJ-0028,June,2026-06-15,79.36,83.85,968129.67,1815780.33,57.27,2034-12-15,22.43
PRJ-0028,July,2026-07-15,95.23,98.06,1132118.27,1238118.3,7.24,2033-02-15,0.0
PRJ-0029,Feb,2026-02-15,13.4,15.75,82586.59,526588.63,0.45,2034-09-03,9.66
PRJ-0029,March,2026-03-15,26.8,27.92,146380.38,531058.54,1.31,2034-07-03,7.85
PRJ-0029,April,2026-04-15,40.2,33.61,176181.08,508225.71,-3.05,2034-06-03,6.69
PRJ-0029,May,2026-05-15,53.6,44.11,231227.4,500329.48,-4.56,2034-02-03,2.9
PRJ-0029,June,2026-06-15,67.0,73.3,384251.22,639791.33,22.05,2034-07-03,8.27
PRJ-0029,July,2026-07-15,80.4,84.84,444728.24,406220.89,-22.51,2033-11-03,0.0
PRJ-0030,Feb,2026-02-15,4.82,11.02,65708.81,729058.0,22.24,2030-07-27,18.33
PRJ-0030,March,2026-03-15,9.63,14.17,84514.08,721204.36,20.92,2030-11-27,22.38
PRJ-0030,April,2026-04-15,14.45,14.38,85795.47,702811.84,17.84,2030-09-27,20.15
PRJ-0030,May,2026-05-15,19.27,23.38,139444.99,682300.45,14.4,2030-02-27,12.69
PRJ-0030,June,2026-06-15,24.09,23.12,137873.64,834074.65,39.84,2030-10-27,21.14
PRJ-0030,July,2026-07-15,28.9,30.01,178988.84,599555.55,0.52,2029-12-27,10.71
PRJ-0031,Feb,2026-02-15,19.76,30.17,125399.7,530848.69,27.73,2034-12-24,18.58
PRJ-0031,March,2026-03-15,39.52,42.59,177018.88,514844.77,23.88,2034-10-24,17.25
PRJ-0031,April,2026-04-15,59.28,57.67,239651.75,506313.7,21.83,2034-07-24,13.61
PRJ-0031,May,2026-05-15,79.04,77.4,321647.14,493584.58,18.77,2034-02-24,9.26
PRJ-0031,June,2026-06-15,98.8,96.38,400539.01,617464.06,48.57,2034-06-24,13.46
PRJ-0031,July,2026-07-15,100.0,94.96,394655.19,416046.54,0.11,2033-05-24,0.0
PRJ-0032,Feb,2026-02-15,12.06,14.71,45347.44,350118.39,13.56,2035-04-27,15.33
PRJ-0032,March,2026-03-15,24.12,22.39,69024.41,338511.04,9.79,2035-02-27,13.19
PRJ-0032,April,2026-04-15,36.18,32.55,100357.59,338609.14,9.82,2034-12-27,11.17
PRJ-0032,May,2026-05-15,48.24,49.09,151345.88,322542.6,4.61,2034-10-27,9.35
PRJ-0032,June,2026-06-15,60.3,67.57,208321.58,371083.76,20.36,2034-11-27,10.13
PRJ-0032,July,2026-07-15,72.36,72.22,222660.44,295803.21,-4.06,2034-03-27,1.7
PRJ-0033,Feb,2026-02-15,11.11,8.3,29577.54,443110.17,24.42,2033-10-07,20.74
PRJ-0033,March,2026-03-15,22.22,26.59,94687.23,432853.64,21.54,2033-10-07,21.29
PRJ-0033,April,2026-04-15,33.34,24.57,87489.78,431091.67,21.04,2033-03-07,14.27
PRJ-0033,May,2026-05-15,44.45,46.66,166178.61,431950.9,21.28,2033-04-07,14.61
PRJ-0033,June,2026-06-15,55.56,57.5,204775.88,483204.39,35.67,2033-09-07,20.25
PRJ-0033,July,2026-07-15,66.67,72.76,259127.31,387082.04,8.69,2032-09-07,7.76
PRJ-0034,Feb,2026-02-15,0.23,0.0,0.0,321025.69,16.48,2033-02-16,21.31
PRJ-0034,March,2026-03-15,0.13,0.0,0.0,319347.61,15.87,2033-02-16,21.33
PRJ-0034,April,2026-04-15,0.7,0.42,1146.4,315182.97,14.36,2032-09-16,16.2
PRJ-0034,May,2026-05-15,0.93,0.0,0.0,308839.13,12.06,2032-11-16,18.41
PRJ-0034,June,2026-06-15,1.16,2.14,5894.44,521666.83,89.28,2034-12-16,43.4
PRJ-0034,July,2026-07-15,1.39,5.57,15363.66,214043.22,-22.34,2031-07-16,2.28
PRJ-0035,Feb,2026-02-15,25.42,28.57,9000.97,42542.52,35.03,2036-04-02,21.12
PRJ-0035,March,2026-03-15,50.84,49.59,15623.99,41314.12,31.13,2036-04-02,20.84
PRJ-0035,April,2026-04-15,76.26,78.25,24655.45,39595.98,25.67,2035-03-02,8.48
PRJ-0035,May,2026-05-15,100.0,98.27,30960.34,39238.79,24.54,2034-11-02,4.42
PRJ-0035,June,2026-06-15,100.0,98.48,31027.88,49451.9,56.96,2035-11-02,15.74
PRJ-0035,July,2026-07-15,100.0,100.0,31506.83,31618.71,0.36,2034-10-02,3.1
PRJ-0036,Feb,2026-02-15,33.89,34.69,72880.67,262307.75,24.86,2032-08-22,17.51
PRJ-0036,March,2026-03-15,67.77,69.65,146321.58,251596.88,19.76,2032-05-22,15.33
PRJ-0036,April,2026-04-15,100.0,100.0,210076.71,251340.36,19.64,2031-09-22,7.24
PRJ-0036,May,2026-05-15,100.0,100.0,210076.71,241117.68,14.78,2031-06-22,3.54
PRJ-0036,June,2026-06-15,100.0,100.0,210076.71,417197.42,98.59,2034-03-22,37.25
PRJ-0036,July,2026-07-15,100.0,100.0,210076.71,157934.77,-24.82,2031-02-22,0.0
PRJ-0037,Feb,2026-02-15,16.37,18.86,88078.6,639159.46,36.89,2035-08-12,21.28
PRJ-0037,March,2026-03-15,32.74,34.61,161616.93,640082.19,37.09,2035-09-12,22.48
PRJ-0037,April,2026-04-15,49.1,45.81,213898.56,600039.75,28.51,2035-06-12,18.56
PRJ-0037,May,2026-05-15,65.47,57.82,269942.51,607406.41,30.09,2035-04-12,16.75
PRJ-0037,June,2026-06-15,81.84,87.48,408464.0,756677.67,62.06,2035-11-12,23.73
PRJ-0037,July,2026-07-15,98.21,100.0,466906.04,473624.51,1.44,2033-11-12,0.0
PRJ-0038,Feb,2026-02-15,0.52,0.0,0.0,21855.65,26.3,2036-07-07,24.46
PRJ-0038,March,2026-03-15,1.04,0.0,0.0,20744.65,19.88,2036-05-07,21.91
PRJ-0038,April,2026-04-15,1.56,0.0,0.0,20290.17,17.26,2036-01-07,17.54
PRJ-0038,May,2026-05-15,2.08,7.95,1374.85,19929.37,15.17,2035-10-07,15.43
PRJ-0038,June,2026-06-15,2.6,2.96,512.39,27390.69,58.29,2037-01-07,30.12
PRJ-0038,July,2026-07-15,3.12,3.14,543.67,14416.7,-16.69,2035-03-07,8.07
PRJ-0039,Feb,2026-02-15,9.13,8.78,59007.36,755458.67,12.36,2036-02-15,13.29
PRJ-0039,March,2026-03-15,18.26,24.04,161659.44,743526.68,10.59,2036-02-15,13.2
PRJ-0039,April,2026-04-15,27.38,25.33,170300.94,767049.04,14.09,2036-03-15,14.23
PRJ-0039,May,2026-05-15,36.51,32.28,217049.06,769712.84,14.48,2035-10-15,8.89
PRJ-0039,June,2026-06-15,45.64,42.33,284621.58,864674.64,28.61,2036-05-15,16.49
PRJ-0039,July,2026-07-15,54.77,55.84,375440.69,672339.68,0.0,2035-05-15,3.53
PRJ-0040,Feb,2026-02-15,7.72,6.03,120659.29,2315536.85,15.78,2029-09-08,16.83
PRJ-0040,March,2026-03-15,15.45,14.36,287218.21,2327541.5,16.38,2029-08-08,15.84
PRJ-0040,April,2026-04-15,23.17,25.93,518677.5,2300442.24,15.02,2029-09-08,17.35
PRJ-0040,May,2026-05-15,30.89,32.83,656672.52,2288962.04,14.45,2029-05-08,12.87
PRJ-0040,June,2026-06-15,38.62,44.88,897583.18,2529487.85,26.47,2029-10-08,17.65
PRJ-0040,July,2026-07-15,46.34,48.16,963104.64,2081002.79,4.05,2029-02-08,10.32
PRJ-0041,Feb,2026-02-15,20.58,19.62,18620.38,98168.45,3.46,2031-02-26,13.31
PRJ-0041,March,2026-03-15,41.16,36.05,34204.49,96553.68,1.75,2030-07-26,5.61
PRJ-0041,April,2026-04-15,61.75,60.28,57203.24,98407.81,3.71,2030-10-26,8.69
PRJ-0041,May,2026-05-15,82.33,84.31,80001.62,98542.05,3.85,2030-05-26,3.76
PRJ-0041,June,2026-06-15,100.0,96.55,91617.13,116396.15,22.67,2030-11-26,9.65
PRJ-0041,July,2026-07-15,100.0,100.0,94888.83,86354.98,-8.99,2030-01-26,0.0
PRJ-0042,Feb,2026-02-15,24.21,24.01,193904.82,865149.35,7.12,2031-07-16,13.0
PRJ-0042,March,2026-03-15,48.42,43.86,354244.44,841103.18,4.14,2031-01-16,7.36
PRJ-0042,April,2026-04-15,72.63,73.09,590334.51,818537.31,1.35,2030-10-16,4.08
PRJ-0042,May,2026-05-15,96.84,92.5,747075.48,807417.39,-0.03,2030-07-16,0.72
PRJ-0042,June,2026-06-15,100.0,93.06,751630.94,1183393.99,46.52,2031-11-16,16.64
PRJ-0042,July,2026-07-15,100.0,98.52,795694.26,563052.15,-30.29,2030-06-16,0.0
PRJ-0043,Feb,2026-02-15,0.8,6.37,80384.53,1782319.83,41.29,2037-04-13,24.65
PRJ-0043,March,2026-03-15,1.61,0.0,0.0,1703230.51,35.02,2036-12-13,20.51
PRJ-0043,April,2026-04-15,2.41,7.05,88960.27,1641706.08,30.14,2037-03-13,24.35
PRJ-0043,May,2026-05-15,2.83,2.16,27238.46,1556074.19,23.35,2036-12-13,21.33
PRJ-0043,June,2026-06-15,4.02,2.44,30840.44,2302692.06,82.54,2038-04-13,37.17
PRJ-0043,July,2026-07-15,4.82,9.14,115290.84,1032686.41,-18.14,2035-06-13,2.68
PRJ-0044,Feb,2026-02-15,11.86,9.72,1717.68,20563.82,16.4,2035-05-22,18.1
PRJ-0044,March,2026-03-15,23.71,20.94,3698.94,20496.89,16.02,2034-10-22,11.12
PRJ-0044,April,2026-04-15,35.57,38.87,6867.58,20692.01,17.13,2035-02-22,15.27
PRJ-0044,May,2026-05-15,47.43,49.73,8786.32,20216.5,14.43,2034-10-22,10.87
PRJ-0044,June,2026-06-15,59.28,57.57,10171.34,24149.41,36.7,2035-10-22,23.0
PRJ-0044,July,2026-07-15,71.14,69.29,12240.43,16729.06,-5.31,2034-02-22,2.54
PRJ-0045,Feb,2026-02-15,9.19,9.56,7288.0,90239.36,18.43,2032-10-02,17.37
PRJ-0045,March,2026-03-15,18.37,16.07,12242.45,88132.49,15.66,2032-07-02,14.38
PRJ-0045,April,2026-04-15,27.56,27.13,20669.41,88785.47,16.52,2032-06-02,12.9
PRJ-0045,May,2026-05-15,36.75,41.15,31354.07,84967.8,11.51,2032-06-02,12.97
PRJ-0045,June,2026-06-15,45.93,44.9,34215.48,100695.54,32.15,2032-12-02,18.89
PRJ-0045,July,2026-07-15,55.12,54.08,41209.17,76435.57,0.31,2031-12-02,7.43
PRJ-0046,Feb,2026-02-15,44.62,45.74,392890.67,948532.05,10.42,2031-12-03,7.54
PRJ-0046,March,2026-03-15,89.25,87.79,754132.12,943999.32,9.89,2031-08-03,3.91
PRJ-0046,April,2026-04-15,100.0,100.0,859011.31,923312.82,7.49,2031-06-03,1.55
